wordcnt.no,wordcnt.content,wordcnt.mor,wordcnt.cnt
486,보는,Verb,31
487,안녕하세요,Adjective,31
488,굉장히,Adjective,31
489,모네,Noun,30
490,전혀,Noun,30
491,대기,Noun,30
492,직접,Noun,30
493,여기는,Verb,30
494,순간,Noun,30
495,마시고,Verb,30
496,신고,Noun,30
497,그렇게,Adverb,30
498,않아요,Verb,30
499,받고,Verb,30
500,음식점,Noun,30
501,였습니다,Verb,30
502,구글맵,Noun,30
503,따라,Verb,30
504,미슐랭,Noun,30
505,목도리,Noun,30
506,파리지앵,Noun,29
507,사이,Noun,29
508,많아요,Adjective,29
509,소리,Noun,29
510,꿀팁,Noun,29
511,없습니다,Adjective,29
512,했던,Verb,29
513,언덕,Noun,29
514,넘,Verb,29
515,용,Noun,29
516,불어,Noun,29
517,건지,Verb,29
518,하니,Verb,29
519,전부,Noun,29
520,르뜨,Noun,29
521,가시,Noun,29
522,우산,Noun,29
523,였는데,Verb,29
524,신청,Noun,28
525,자체,Noun,28
526,기분,Noun,28
527,신혼여행,Noun,28
528,함께,Adverb,28
529,들어가서,Verb,28
530,당황,Noun,28
531,물론,Adverb,28
532,는데,Verb,28
533,얇은,Adjective,28
534,애,Noun,28
535,한다고,Verb,28
536,편이,Noun,28
537,보이,Noun,28
538,전시,Noun,28
539,살짝,Noun,28
540,여유,Noun,28
541,탈,Noun,28
542,선물,Noun,28
543,오디오,Noun,28
544,경찰,Noun,28
545,아닌,Adjective,28
546,지구,Noun,27
547,보세요,Verb,27
548,계산,Noun,27
549,머플러,Noun,27
550,대신,Noun,27
551,예정,Noun,27
552,알려,Verb,27
553,다행히,Adjective,27
554,그런,Adjective,27
555,오히려,Noun,27
556,배,Noun,27
557,봤는데,Verb,27
558,귀국,Noun,27
559,뭔가,Noun,27
560,많고,Adjective,26
561,필요,Noun,26
562,소소한,Adjective,26
563,주,Noun,26
564,운영,Noun,26
565,땐,Noun,26
566,속,Noun,26
567,관광,Noun,26
568,오리,Noun,26
569,니당,Verb,26
570,노을,Noun,26
571,군데,Noun,26
572,실제,Noun,26
573,북역,Noun,26
574,탑승,Noun,26
575,외,Noun,26
576,않았어요,Verb,26
577,매일,Noun,26
578,지인,Noun,26
579,좌석,Noun,26
580,내일,Noun,26
581,테라스,Noun,26
582,월렛,Noun,26
583,좋고,Adjective,26
584,나름,Noun,26
585,장,Noun,26
586,표,Noun,26
587,크리스마스,Noun,26
588,기계,Noun,26
589,앱,Noun,26
590,두고,Verb,26
591,불,Noun,25
592,즐거운,Adjective,25
593,둘다,Verb,25
594,굳이,Noun,25
595,정찰,Noun,25
596,하시고,Verb,25
597,고민,Noun,25
598,몇,Noun,25
599,아니라,Adjective,25
600,반,Noun,25
601,마켓,Noun,25
602,세,Noun,25
603,좋아서,Adjective,25
604,담배,Noun,25
605,있지만,Adjective,25
606,본인,Noun,25
607,모습,Noun,25
608,관람,Noun,25
609,해도,Noun,25
610,호선,Noun,25
611,작성,Noun,25
612,공간,Noun,25
613,디즈니,Noun,25
