b_wordcnt.no,b_wordcnt.content,b_wordcnt.mor,b_wordcnt.cnt
573,라면,Noun,2
574,라시,Noun,2
575,라트,Noun,2
576,궁금,Noun,2
577,레페,Noun,2
578,로스,Noun,2
579,로커,Noun,2
580,루나,Noun,2
581,음식,Noun,2
582,리스,Noun,2
583,마드,Noun,2
584,마이,Noun,2
585,마트,Noun,2
586,구해,Noun,2
587,맞이,Noun,2
588,구,Modifier,2
589,교통카드,Noun,2
590,캠퍼,Noun,2
591,캠핑,Noun,2
592,커플,Noun,2
593,케이크,Noun,2
594,코인,Noun,2
595,킥,Noun,2
596,타,Noun,2
597,타파스,Noun,2
598,테르,Noun,2
599,통제,Noun,2
600,투자,Noun,2
601,트레블,Noun,2
602,곧,Noun,2
603,팁,Noun,2
604,팔로알토,Noun,2
605,팩,Noun,2
606,계속,Noun,2
607,포트와인,Noun,2
608,피,Noun,2
609,경로,Noun,2
610,하늘,Noun,2
611,하몽,Noun,2
612,한번,Noun,2
613,합창단,Noun,2
614,결승,Noun,2
615,해진,Noun,2
616,핸드폰,Noun,2
617,호안,Noun,2
618,건축물,Noun,2
619,건,Noun,2
620,후안,Noun,2
621,휴업,Noun,2
622,거의,Noun,2
623,암스테르담,Noun,2
624,개인,Noun,2
625,어플,Noun,2
626,언,Modifier,2
627,언덕,Noun,2
628,에스,Noun,2
629,에스파냐,Noun,2
630,엘,Noun,2
631,여기,Noun,2
632,여행사,Noun,2
633,연휴,Noun,2
634,오디오,Noun,2
635,오페라,Noun,2
636,각각,Noun,2
637,옥상,Noun,2
638,옥토버페스트,Noun,2
639,와이,Modifier,2
640,요구,Noun,2
641,요새,Noun,2
642,용품,Noun,2
643,우버,Noun,2
644,우산,Noun,2
645,가라,Noun,2
646,이런,Modifier,2
647,일이,Noun,2
648,일반,Noun,2
649,일찍,Noun,2
650,일로,Noun,2
651,자가,Noun,2
652,연습,Noun,1
653,숍,Noun,1
654,연월일,Noun,1
655,수기,Noun,1
656,반드시,Noun,1
657,반,Noun,1
658,수령,Noun,1
659,박후,Noun,1
660,연주,Noun,1
661,숙박,Noun,1
662,메가스토어,Noun,1
663,순간접착제,Noun,1
664,순례,Noun,1
665,술,Noun,1
666,술집,Noun,1
667,슈퍼,Noun,1
668,슈퍼마켓,Noun,1
669,스냅,Noun,1
670,난,Noun,1
671,스케이트보드,Noun,1
672,스크린,Noun,1
673,스타,Noun,1
674,스타디움,Noun,1
675,박준,Noun,1
676,연착,Noun,1
677,스톡홀름,Noun,1
678,스톤아일랜드,Noun,1
679,스톱,Noun,1
680,스트레스,Noun,1
681,연초,Noun,1
682,스페,Noun,1
683,나이키,Noun,1
684,스페인어,Noun,1
685,스폿,Noun,1
686,승천일,Noun,1
