l_wordcnt.no,l_wordcnt.content,l_wordcnt.mor,l_wordcnt.cnt
448,한인,Noun,4
449,히스로공항,Noun,4
450,수단,Noun,4
451,벤트,Noun,4
452,퍼레이드,Noun,4
453,피시,Noun,4
454,티젠,Noun,4
455,적용,Noun,4
456,비스터,Noun,4
457,해결,Noun,4
458,사이트,Noun,4
459,초등,Noun,4
460,중순,Noun,4
461,칩스,Noun,4
462,인권,Noun,4
463,이유,Noun,4
464,선택,Noun,4
465,체크,Noun,4
466,이름,Noun,4
467,패스트,Noun,4
468,일찍,Noun,4
469,등록,Noun,4
470,유로,Noun,4
471,메이슨,Noun,4
472,도시,Noun,4
473,거리,Noun,4
474,키트,Noun,4
475,마틸다,Noun,4
476,런던탑,Noun,4
477,일,Modifier,4
478,크리스마스이브,Noun,4
479,금액,Noun,4
480,어플,Noun,4
481,만,Modifier,4
482,브뤼셀,Noun,4
483,주말,Noun,4
484,왜,Noun,4
485,제일,Noun,4
486,트래펄가,Noun,4
487,기간,Noun,4
488,제한,Noun,4
489,소요,Noun,4
490,홀,Noun,4
491,코트,Noun,4
492,성,Noun,4
493,원래,Noun,3
494,선데이,Noun,3
495,하우스,Noun,3
496,지나,Noun,3
497,한,Modifier,3
498,한국,Noun,3
499,한다는,Modifier,3
500,한번,Noun,3
501,바로,Noun,3
502,함,Noun,3
503,제,Noun,3
504,지엄,Noun,3
505,멀티,Noun,3
506,그리니치,Noun,3
507,베를린,Noun,3
508,자가,Noun,3
509,카운트,Noun,3
510,현지,Noun,3
511,직관,Noun,3
512,홈페이지,Noun,3
513,진짜,Noun,3
514,쇼디치,Noun,3
515,길,Noun,3
516,캠든,Noun,3
517,미사,Noun,3
518,과학,Noun,3
519,힐,Noun,3
520,상점,Noun,3
521,남자,Noun,3
522,공원,Noun,3
523,열차,Noun,3
524,뮤,Noun,3
525,노숙,Noun,3
526,예,Modifier,3
527,스퀘어,Noun,3
528,곧,Noun,3
529,오디오,Noun,3
530,느낌,Noun,3
531,버러,Noun,3
532,코치,Noun,3
533,스탠스,Noun,3
534,옥,Noun,3
535,경우,Noun,3
536,브라이튼,Noun,3
537,스테이션,Noun,3
538,주간,Noun,3
539,스톤헨지,Noun,3
540,외,Noun,3
